Id,Label,time,friends,followers,modularity_class,indegree,outdegree,Degree,clustering,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,componentnumber,strongcompnum,suspicious
44759107,,22240,16,17,3,69,64,133,0.53147,3,0.764706,0.849817,248.231406,0,1,
152906033,,31142,11,10,1,3,4,7,1,4,0.455,0.482601,0,0,1,
58147841,,38001,14,14,1,38,37,75,0.800853,3,0.619048,0.699634,18.285809,0,1,
215999479,,117075,12,11,2,8,8,16,0.857143,4,0.491892,0.524725,0.303217,0,1,
29629037,,27225,13,12,1,10,10,20,0.622222,3,0.514124,0.545788,35.446764,0,1,
57645405,,22711,14,13,4,36,38,74,0.80027,3,0.627586,0.70696,16.523761,0,1,
17973661,,54585,13,13,4,15,14,29,0.890476,4,0.52,0.565018,0.820668,0,1,
57644583,,164166,14,14,1,43,43,86,0.736988,3,0.640845,0.730769,55.282665,0,1,
50857576,,36589,13,12,2,14,13,27,0.862637,3,0.52,0.56044,1.139721,0,1,
582377327,,26799,10,10,2,6,7,13,1,3,0.497268,0.52381,0,0,1,
82643223,,26979,16,16,1,57,55,112,0.694862,3,0.710938,0.800366,61.790831,0,1,
57646757,,35184,14,14,3,37,37,74,0.851351,3,0.623288,0.701465,8.509108,0,1,
52391694,,64464,12,12,2,1,1,2,0,4,0.314879,0.326007,0,0,1,
12582309,,23498,11,8,3,0,1,1,0,4,0.436019,0.455616,0,0,2,
152576293,,78276,13,12,2,16,20,36,0.889474,3,0.551515,0.604396,2.23502,0,1,
152484638,,23712,9,8,2,1,1,2,0,3,0.4375,0.456044,0,0,1,
12130696,,15319,14,14,4,26,23,49,0.833846,3,0.558282,0.619048,3.816283,0,1,
34346603,,0,16,17,2,73,65,138,0.521119,3,0.771186,0.855311,224.373882,0,1,
152734157,,52532,11,10,2,7,9,16,0.930556,3,0.511236,0.540293,0.24109,0,1,
35003019,,16214,13,13,2,20,15,35,0.782609,4,0.514124,0.565018,3.764844,0,1,
57589781,,17758,13,12,1,25,25,50,0.85755,3,0.56875,0.631868,4.075007,0,1,
57643288,,18247,15,15,1,52,53,105,0.703354,3,0.7,0.789377,168.754723,0,1,
57645246,,18004,16,16,2,49,48,97,0.730442,3,0.674074,0.761905,48.727397,0,1,
12858870,,110683,15,15,1,46,46,92,0.809179,3,0.664234,0.750916,21.581348,0,1,
99951094,,14687,13,13,4,8,5,13,1,3,0.5,0.518315,0,0,1,
57644430,,18221,15,15,1,50,50,100,0.740408,3,0.679104,0.771062,36.779893,0,1,
57643835,,22911,16,16,4,69,70,139,0.538302,3,0.80531,0.882784,219.914462,0,1,
13276280,,15347,17,17,2,65,64,129,0.559375,2,0.771186,0.851648,552.417098,0,1,
58166378,,45797,12,12,4,10,10,20,0.844444,4,0.502762,0.539377,0.7464,0,1,
152931891,,17200,13,13,4,21,21,42,0.929348,3,0.551515,0.608059,0.844898,0,1,
58314412,,87645,17,17,4,61,64,125,0.584821,3,0.764706,0.849817,144.717235,0,1,
57648152,,22431,15,15,2,40,39,79,0.658537,3,0.627586,0.710623,47.420982,0,1,
20427492,,16944,16,16,4,57,57,114,0.604658,3,0.716535,0.809524,109.384576,0,1,
152851462,,17172,13,12,2,16,19,35,0.853801,3,0.541667,0.595238,1.763648,0,1,
57644933,,53932,16,16,2,54,54,108,0.697065,3,0.705426,0.794872,68.150897,0,1,
57644376,,27086,15,15,2,53,55,108,0.607683,3,0.705426,0.798535,197.744455,0,1,
224316512,,27392,10,10,2,2,1,3,1,4,0.415525,0.437729,0,0,1,
152696029,,76964,13,13,3,22,21,43,0.869565,3,0.551515,0.608059,4.022295,0,1,
57649904,,64813,15,14,1,47,47,94,0.801418,3,0.664234,0.754579,19.929942,0,1,
175139656,,83231,14,14,1,39,36,75,0.779352,3,0.610738,0.692308,15.367596,0,1,
152621733,,66527,10,9,3,2,2,4,0,4,0.415525,0.440476,0.2657,0,1,
97137115,,26491,13,13,4,17,16,33,0.941176,4,0.522989,0.574176,0.319579,0,1,
44760050,,25065,12,13,4,18,13,31,0.80117,4,0.517045,0.559524,2.318407,0,1,
38166915,,116945,12,12,2,6,6,12,0.7,4,0.491892,0.517399,0.450949,0,1,
44755045,,337408,15,15,1,47,53,100,0.674891,3,0.694656,0.787546,42.752818,0,1,
25024383,,18532,16,16,1,55,57,112,0.660088,2,0.728,0.813187,302.055221,0,1,
25975245,,23407,17,17,2,61,64,125,0.549355,3,0.764706,0.849817,185.978397,0,1,
42084270,,16356,12,12,2,12,12,24,0.945055,4,0.514124,0.554029,0.229938,0,1,
301963335,,25137,12,12,4,11,10,21,0.945455,4,0.497268,0.535714,0.160251,0,1,
814803462,,2747502,7,2,0,0,0,0,0,0,0,0,0,1,3,
101699474,,42222,14,15,1,42,41,83,0.753194,3,0.640845,0.723443,34.249557,0,1,
298831065,,20192,10,9,4,2,2,4,1,3,0.459596,0.478022,0,0,1,
32654305,,14548,13,12,2,23,28,51,0.747537,3,0.583333,0.650183,14.962007,0,1,
756511182,,71451,13,13,1,28,33,61,0.757576,3,0.602649,0.677656,18.002392,0,1,
152619213,,15415,13,13,3,17,17,34,0.974265,3,0.541667,0.587912,0.343828,0,1,
7249894,,78677,15,15,2,44,41,85,0.594949,3,0.631944,0.71978,73.310274,0,1,
93641627,,70818,16,16,4,60,64,124,0.577877,3,0.764706,0.849817,128.753711,0,1,
57644075,,16969,16,16,1,61,62,123,0.62348,3,0.752066,0.838828,161.328115,0,1,
152595386,,64429,11,11,2,3,3,6,0.333333,3,0.457286,0.479853,180,0,1,
58143652,,57384,14,14,2,26,23,49,0.824615,3,0.558282,0.619048,4.399855,0,1,
28431976,,22654,16,16,4,56,59,115,0.575687,3,0.733871,0.822344,145.597478,0,1,
57649897,,46476,13,12,1,27,28,55,0.848522,4,0.575949,0.647436,4.443997,0,1,
67498674,,18742,17,17,2,65,65,130,0.58149,3,0.771186,0.855311,168.543835,0,1,
57644609,,55417,14,14,3,37,34,71,0.779352,3,0.610738,0.684982,13.573601,0,1,
210198064,,26189,15,15,1,47,47,94,0.802035,3,0.669118,0.75641,21.282639,0,1,
152544378,,15129,12,12,3,16,16,32,0.7875,4,0.526012,0.576007,3.093254,0,1,
113654288,,117543,14,14,1,29,30,59,0.783266,4,0.579618,0.656593,39.998347,0,1,
105853043,,40860,14,15,1,41,37,78,0.784146,3,0.623288,0.701465,18.909594,0,1,
152595719,,20775,14,14,1,44,47,91,0.665125,3,0.669118,0.75641,66.353805,0,1,
145456298,,45469,14,14,3,51,51,102,0.5366,3,0.689394,0.778388,254.27592,0,1,
23831298,,13936,13,12,2,7,7,14,0.844444,3,0.491892,0.520147,0.208187,0,1,
152896036,,22729,13,13,3,17,14,31,0.915441,4,0.517045,0.563187,0.7294,0,1,
31248672,,25094,13,13,2,14,12,26,0.824176,4,0.517045,0.555861,1.183383,0,1,
57643462,,20261,16,16,3,57,56,113,0.653822,3,0.716535,0.805861,105.05771,0,1,
57643414,,67564,15,15,1,44,45,89,0.80202,3,0.654676,0.74359,17.531176,0,1,
57643830,,24193,15,15,1,50,50,100,0.754286,3,0.679104,0.771062,31.872578,0,1,
82115288,,16591,16,16,1,59,58,117,0.642022,3,0.728,0.81685,94.242816,0,1,
57647248,,24644,15,15,4,49,50,99,0.720408,3,0.684211,0.772894,52.138025,0,1,
152956308,,94015,14,14,1,37,36,73,0.859175,3,0.606667,0.690476,5.971617,0,1,
57644011,,14819,17,16,4,66,69,135,0.512475,3,0.798246,0.877289,250.733961,0,1,
57847104,,18527,13,13,4,16,18,34,0.771242,3,0.538462,0.589744,2.996525,0,1,
57648207,,38996,16,16,1,62,63,125,0.596726,3,0.758333,0.844322,131.674958,0,1,
57649321,,54539,14,15,1,45,42,87,0.760407,3,0.640845,0.727106,26.380581,0,1,
58424389,,56609,17,16,3,69,69,138,0.539545,3,0.798246,0.877289,305.58948,0,1,
582055194,,122339,9,10,3,1,0,1,0,0,0,0,0,0,0,
107660002,,1495009,12,12,5,0,0,0,0,0,0,0,0,2,4,
163536964,,27867,15,16,2,50,48,98,0.563242,3,0.664234,0.758242,103.371233,0,1,
152593084,,40044,12,10,1,1,3,4,1,4,0.461929,0.484432,0,0,1,
57483949,,39025,13,11,2,12,18,30,0.95098,3,0.538462,0.589744,0.222972,0,1,
11101884,,13856,14,14,4,28,27,55,0.746032,3,0.575949,0.642857,45.281615,0,1,
67979463,,94464,14,14,3,38,40,78,0.798171,3,0.636364,0.717949,15.173084,0,1,
31182412,,77597,15,16,1,56,55,111,0.69513,3,0.710938,0.800366,97.742731,0,1,
151569267,,46527,10,9,6,0,0,0,0,0,0,0,0,3,5,
57649966,,29293,14,14,1,37,38,75,0.849929,3,0.623288,0.705128,12.420472,0,1,
82882387,,26344,12,12,4,4,4,8,0.333333,4,0.452736,0.480769,1.078666,0,1,
27990901,,25776,16,16,4,61,61,122,0.54235,3,0.745902,0.833333,353.337441,0,1,
